label,companyName,companyAddress,phoneNumber,city,
"숙박, 요식, 급식",MARU VIETNAM COMPANY LIMITED,"116 vũ phạm hàm, Yên hòa, Cầu giấy, HN",+84981445585,HA NOI,★★★☆☆
"숙박, 요식, 급식",MELIA HA NOI HOTEL,"44B Ly Thuong Kiet, Hoan Kiem, Hanoi",+842439343343,HA NOI,★★☆☆☆
"숙박, 요식, 급식",MIRINE,"SH08, Park 1, 458 Minh Khai, Hai Ba Trung, Hanoi",+842422198282,HA NOI,★★☆☆☆
"숙박, 요식, 급식","NAKWON CO.,LTD","55 Do Quang, Trung Hoa, Cau GIay, Hanoi",+842435558138,HA NOI,★★★☆☆
"숙박, 요식, 급식",NHA HANG GA TAN SAM,"Ngo 109, B44, Nguyen Thi dinh, Trung Hoa, Cau Giay, Hanoi",,HA NOI,★★☆☆☆
"숙박, 요식, 급식",Nhà hàng Hạnh phúc,"Kiot 9B, Số 122, CT4, KĐT Mỹ Đình Sông Đà, P. Mễ Trì, Q. Nam Từ Liêm, Hà Nội",+849327802210,HA NOI,★★★☆☆
"숙박, 요식, 급식",NHAN DUYEN,"중화점 : So 24, Nguyen Thi Dinh, Trung Hoa, Cau Giay, Hanoi 미딩점 : Lo 103, TT3, KDT My Dinh, Nam Tu Liem Hanoi",+842435558631,HA NOI,★★★★☆
"숙박, 요식, 급식",NHAT LAM SERVICES & TRADING JSC,"Room 906, Building A1, Nguyen Co Thach, My Dinh 1, Nam Tu Liem, Hanoi",+842422213624,HA NOI,★★★☆☆
"숙박, 요식, 급식",NOVOTEL SUITES HA NOI,"Novotel Hanoi Thai Ha - 2 Thai Ha, Dong Da, Hanoi BRANCH: Novotel Suites Hanoi - 5 Duy Tan, Cau Giay, Hanoi",+842435766666,HA NOI,★★☆☆☆
"숙박, 요식, 급식",Oakwood Residence Hanoi,"No 17, Lane 35, Dang Thai Mai Street, Hanoi, Vietnam",+842438803880,HA NOI,★★☆☆☆
"숙박, 요식, 급식",OLIVE,"số 49, đường số 23, khu do thi thanh pho giao luu, phuong co nhue 2, Bắc Từ Liêm, Hanoi",+842432024333,HA NOI,★★☆☆☆
"숙박, 요식, 급식",PARIS BAGUETTE,"9F, AC Tower, 78 Duy Tan, Cau Giay, Ha Noi",+842462694757,HA NOI,★★★☆☆
"숙박, 요식, 급식",PIZZA&,"SH05A Toa S2, Vinhomes Skylake Pham Hung, My Dinh, Nam Tu Liem, Hanoi",+842466822200,HA NOI,★★☆☆☆
"숙박, 요식, 급식",PREMIER CATERING SERVICE,"T11-OF 04-Tang 2, Timescity 458 Minh Khai, Hai Ba Trung, Hanoi",+84949785665,HA NOI,★★☆☆☆
"숙박, 요식, 급식",PUDADAC,"136 Ho Tung Mau, Goldmark City, Nam Tu Liem, Hanoi",+84904926577,HA NOI,★★★☆☆
"숙박, 요식, 급식",PULLMAN HA NOI HOTEL,"40 Cat Linh, 61 Giang Vo, Hanoi",+842437330688,HA NOI,★★☆☆☆
"숙박, 요식, 급식",RED APRON,"61 Ly Thai To (Entrance 9 Ly Dao Thanh) str., Hoan Kiem",+842432668509,HA NOI,★★★☆☆
"숙박, 요식, 급식",ROYGENT PARKS HA NOI,"Roygent Parks Hanoi Bldg, No 289, Khuat Duy Tien, Trung Hoa, Cau Giay, Hanoi",+842432323760,HA NOI,★★★★☆
"숙박, 요식, 급식",SAN DUL CHE,"9c Dinh Thon, My Dinh, Nam Tu Liem, Hanoi.",+843755525170,HA NOI,★★★☆☆
"숙박, 요식, 급식",SAPA JADE HILL HOSPITALITY MANAGEMENT J.S.C,Tháp A - Tòa Golden Palace - đường Mễ Trì - Nam Từ Liêm - HN BRANCH: Tháp A - Tòa Golden Palace - đường Mễ Trì - Nam Từ Liêm - HN,+84984266496,HA NOI,★★☆☆☆
"숙박, 요식, 급식",GLCC COMPANY LIMITED,"Warehouse No. W4, No. 151 East-West Avenue, VSIP Urban, Industrial and Service Area, Thuy Trieu, Thuy Nguyen, Hai Phong",+84865808640,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",H Tower Hotel  Apartment,"H TOWER 195, Van Cao str., Ngo Quyen dist., Haiphong city, Vietnam",+842252811118,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",Hotel Nikko Hai Phong,"Số 1, Đường 1, Khu đô thị Waterfront City, Phường Vĩnh Niệm , Quận Lê Chân, Thành phố Hải Phòng, Việt Nam.",+842253265666,HAI PHONG,★★★☆☆
"숙박, 요식, 급식","HOTEL PERLE D'ORIENT, MGALLERY","Cat Co 3 Beach, Cat Ba Island, Cat Hai, Hai Phong",+842253887360,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",INTRO RESIDENCE HOTEL,"No. 16/76/193 Van Cao, Dang Lam, Hai An, Hai Phong",+842252618686,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식","JHC F&B Co.,Ltd","Lot T110, at First Floor, AEONMALL Hai Phong Shopping Center, Ho Sen - Cau Rao 2, Vinh Niem, Le Chan, Hai Phong",+84866042923,HAI PHONG,★★★☆☆
"숙박, 요식, 급식",KDEVINA COMPANY LIMITED,"lot L7.3A KCN Do Son, Ngoc Xuyen, Do Son, Hai Phong",+849696549440,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",KOVIE HAI PHONG HOTEL,"No 9 Lot 2A Le Hong Phong Street, Dong Khe Ward, Ngo Quyen District, Hai Phong City, Vietnam",+842253720999,HAI PHONG,★★★☆☆
"숙박, 요식, 급식",Mercure Hai Phong,"12 Lạch Tray, Street, Ngô Quyền, Hải Phòng 180000",+842253240999,HAI PHONG,★★★★☆
"숙박, 요식, 급식",MR. DAKGALBI AEON MALL HAI PHONG,"Lot T110, at First Floor, AEONMALL Hai Phong Shopping Center, Ho Sen - Cau Rao 2, Vinh Niem, Le Chan, Hai Phong",+84866042923,HAI PHONG,★★★☆☆
"숙박, 요식, 급식","OURHOME VN CO.,LTD","Soố 9 Lô 2A, đường Lê Hồng Phong, Phường Đông Khê, Quận Ngô Quyền, Hải phòng",+842253250164,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",Sheraton Hai Phong,"Vinhomes Imperia Metropolitan Area, Ha Noi street, Hong Bang district, Hai Phong, Vietnam",+842253266888,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",SONO Belle HAI PHONG Golf & Resort,"Luu Kiem, Thuy Nguyen, Hai Phong, Viet Nam",+842253963900,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",SUNFLOWER INTERNATIONAL VILLAGE CORP,"No 35A Van Cao, Dang Giang, Ngo Quyen, Hai Phong",+842253892000,HAI PHONG,★★★☆☆
"숙박, 요식, 급식",THE STAY HOTEL,"193 Van Cao, Dang Giang, Ngo Quyen, Hai Phong",+842558832176,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",THE TRAY HOTEL,"47 Lach Tray Street, Lach Tray Ward, Ngo Quyen District , Hai Phong City, Vietnam",+842253828555,HAI PHONG,★★☆☆☆
"숙박, 요식, 급식",YEGA,"Lô 1, TT1, KĐT Mỹ Đình, Phạm Hùng, Nam Từ Liêm,Hà Nội",+84981399944,HA NOI,★★★☆☆
"숙박, 요식, 급식","SW F&B CO.,LTD","114-116 My Kim 2, Tan Phong, Dist. 7, HO CHI MINH",,HO CHI MINH,★★☆☆☆
"숙박, 요식, 급식",LAGUNA LANGCO,"Cu Du, Loc Vinh, Phu Loc, Thua Thien Hue",+842343695880,HUE,★★★☆☆
"숙박, 요식, 급식",LIFE BRIDGE VIETNAM,"#704, Kim Anh Tower, Ngo 78, Duy Tan, Cau Giay, Vietnam",,HUNG YEN ,★★★★☆
"숙박, 요식, 급식",QUANG MINH FOOD,"Thon Hong Thai, xa Lac Hong, Huy€n vdn Ldm, Tinh Hang Y€n, vi€t Nam",,HUNG YEN ,★★★☆☆
"숙박, 요식, 급식",Boma Resort Nha Trang,"Pham Van Dong Street, Vinh Hoa Ward, Nha Trang city",+842583835555,KHANH HOA,★★☆☆☆
"숙박, 요식, 급식",Potique Hotel,"22 Hung Vuong street, Loc Tho ward, Nha Trang city, Khanh Hoa province",+842583556999,KHANH HOA,★★☆☆☆
"숙박, 요식, 급식",Wyndham Cam Ranh,"KN Cam Ranh Co. Ltd, Long Beach, Cam Ranh Peninsula, Cam Nghia Ward, Khanh Hoa Province, Vietnam.",+842433659999,KHANH HOA,★★☆☆☆
